Player,Country,Game,Category,Date,Submitted,Time,Comment
Ace,,GoldenEye 007,Any% (Agent),Sun Jun 09 19:00:00 CDT 2013,,PT21M52S,bad RNG on frigate otherwise pretty solid
Marc,Denmark,GoldenEye 007,Any% (Agent),,,PT22M,
Illu,Sweden,GoldenEye 007,Any% (Agent),Wed Feb 12 18:00:00 CST 2014,,PT22M28S,
Clemens,United States,GoldenEye 007,Any% (Agent),Sun Nov 04 18:00:00 CST 2012,,PT22M45S,""
RyanLockwood,United States,GoldenEye 007,Any% (Agent),Fri Dec 06 18:00:00 CST 2013,,PT23M25S,was sub 23 pace and I had some slow parts that cost me i think.
Speedruntrainer,Netherlands,GoldenEye 007,Any% (Agent),,,PT24M31S,""
Wodahs-Reklaw,United States,GoldenEye 007,Any% (Agent),Fri Jan 03 18:00:00 CST 2014,,PT23M41S,
MirrorMage,Angola,GoldenEye 007,Any% (Agent),,,PT25M37S,""
Thiradell,United States,GoldenEye 007,Any% (Agent),Mon Dec 09 18:00:00 CST 2013,,PT25M49S,"Goofy Control, had to get Body Armor. Tied Flicker!"
alaris,United States,GoldenEye 007,Any% (Agent),Thu Dec 12 18:00:00 CST 2013,,PT27M59S,""
Pascal,United States,GoldenEye 007,Any% (Agent),Sat Jan 31 18:00:00 CST 2015,,PT30M31S,"I've just made my account. This showed up as a run, even though I have never EVER run any James Bond games in my entire life.

I can't delete this, so can a mod do it?"
Ace,,GoldenEye 007,Secret Agent,Thu Nov 14 18:00:00 CST 2013,,PT31M4S,"https://rankings.the-elite.net/goldeneye/single-segments/54
Go to http://rankings.the-elite.net/ for updated Individual Level rankings and leaderboards. 
The speedrun.com leaderboard's purpose is to redirect new players to The-Elite Rankings website. The records listed here are mirrored from the rankings page and not necessarily up to date.

Runner's Comments are found in the-elite.net rankings submission and the YouTube video.

pretty good run overall. mission time 27:56"
Clemens,United States,GoldenEye 007,Secret Agent,Thu Feb 28 18:00:00 CST 2013,,PT31M54S,gotten live on stream
Illu,Sweden,GoldenEye 007,Secret Agent,Fri Jul 12 19:00:00 CDT 2013,,PT32M51S,http://rankings.the-elite.net/goldeneye/single-segments/79
Ace,,GoldenEye 007,00 Agent,Sun Nov 10 18:00:00 CST 2013,,PT37M24S,"http://forums.the-elite.net/forum/index.php?topic=18208.msg394493#msg394493 for full comments.

Part of Ace's 100% 1:00:01"
Marc,Denmark,GoldenEye 007,00 Agent,Thu Nov 08 18:00:00 CST 2012,,PT38M16S,"*converter use

Part of Marc's 1:02:32"
Clemens,United States,GoldenEye 007,00 Agent,Tue Nov 06 18:00:00 CST 2012,,PT40M43S,Part 2: https://www.youtube.com/watch?v=V6pB90k0lXw
Illu,Sweden,GoldenEye 007,00 Agent,Thu May 22 19:00:00 CDT 2014,,PT39M57S,
marshmallow,,GoldenEye 007,00 Agent,,,PT57M3S,"really old time, probably WR when set"
Ace,,GoldenEye 007,100%,Sun Nov 10 18:00:00 CST 2013,,PT1H1S,http://forums.the-elite.net/forum/index.php?topic=18208.msg394493#msg394493 for full comments.
Marc,Denmark,GoldenEye 007,100%,Thu Nov 08 18:00:00 CST 2012,,PT1H2M32S,converter use
Clemens,United States,GoldenEye 007,100%,Tue Nov 06 18:00:00 CST 2012,,PT1H4M12S,no glass both times and massive troll on egypt
admiralsmit,Sweden,GoldenEye 007,100%,Sat Nov 02 19:00:00 CDT 2013,,PT1H10M5S,
Illu,Sweden,GoldenEye 007,100%,,,PT1H20M10S,
Ace,,GoldenEye 007,All 60,Thu Oct 24 19:00:00 CDT 2013,,PT1H44M46S,"around 1:39/1:40 is doable, but this category is irrel"
admiralsmit,Sweden,GoldenEye 007,Any% (Agent),Fri Jan 24 18:00:00 CST 2014,,PT22M46S,
Koch,United States,GoldenEye 007,Any% (Agent),Thu Mar 13 19:00:00 CDT 2014,,PT22M56S,
Flickerform,Canada,GoldenEye 007,Any% (Agent),Tue Feb 18 18:00:00 CST 2014,,PT23M36S,The Metroid Urn
Lanayru,Poland,GoldenEye 007,Any% (Agent),Fri Mar 28 19:00:00 CDT 2014,,PT43M18S,"was comparing against EMU splits, shit run need to improve Train, Jungle & Controll

NATALYA HAS DIED"
Illu,Sweden,GoldenEye 007,100%,Thu May 22 19:00:00 CDT 2014,,PT1H3M28S,
RainbowOfSanity,England,GoldenEye 007,Any% (Agent),Wed May 21 19:00:00 CDT 2014,,PT49M28S,"Lost some time on Silo and Jungle, made up for it on Cradle. Really fun going back to a childhood game and reliving the moments, seeing how far you've come in the world of gaming. Would recommend for anybody considering Speed Running."
Illu,Sweden,GoldenEye 007,100%,Thu May 22 19:00:00 CDT 2014,,PT1H3M28S,
MirrorMage,Angola,GoldenEye 007,Agent,Sat Mar 30 19:00:00 CDT 2013,,PT53S,
Stoxenbawns,Canada,GoldenEye 007,Agent,Sat Mar 22 19:00:00 CDT 2014,,PT53S,
Flickerform,Canada,GoldenEye 007,Agent,Tue Sep 30 19:00:00 CDT 2014,,PT17S,
TPositive,United States,GoldenEye 007,Any% (Agent),Fri Oct 03 19:00:00 CDT 2014,Thu Nov 13 00:17:50 CST 2014,PT27M,Cute
Bismuth,Québec,GoldenEye 007,Any% (Agent),Tue Sep 24 19:00:00 CDT 2013,Tue Nov 18 08:48:05 CST 2014,PT30M15S,
Speedruntrainer,Netherlands,GoldenEye 007,Any% (Agent),Tue Jun 03 19:00:00 CDT 2014,Fri Dec 19 03:02:01 CST 2014,PT23M39S,
toyomana,Japan,GoldenEye 007,Any% (Agent),Wed Sep 10 19:00:00 CDT 2014,Sun Dec 21 06:28:38 CST 2014,PT32M40S,
RWhiteGoose,Canada,GoldenEye 007,Any% (Agent),Tue Dec 23 18:00:00 CST 2014,Wed Dec 24 02:58:30 CST 2014,PT22M16S,2 2 1 6 (??_?)? IF CANCER WON'T SLOW DOWN WE BETTER SPEED UP (??_?)? (??_?)? (??_?)?) 2 2 1 6
sakuya,Luxembourg,GoldenEye 007,Any% (Agent),Sun Jan 04 18:00:00 CST 2015,Mon Jan 05 03:25:18 CST 2015,PT23M57S,( ´ ? ` )
sakuya,Luxembourg,GoldenEye 007,Any% (Agent),Tue Jan 06 18:00:00 CST 2015,Tue Jan 06 14:39:28 CST 2015,PT23M50S,( ´ ? ` )
hotshott,United States,GoldenEye 007,Any% (Agent),Wed Jan 14 18:00:00 CST 2015,Sat Jan 17 03:46:15 CST 2015,PT23M50S,
alaris,United States,GoldenEye 007,Any% (Agent),Wed May 21 19:00:00 CDT 2014,Sat Jan 31 12:49:19 CST 2015,PT24M45S,"thought i should update this, still a bad time tho."
TPositive,United States,GoldenEye 007,Agent,Wed Jan 28 18:00:00 CST 2015,Wed Feb 11 00:49:32 CST 2015,PT53S,2nd TWR
TPositive,United States,GoldenEye 007,Agent,Mon Jan 19 18:00:00 CST 2015,Wed Feb 11 00:50:18 CST 2015,PT16S,1st TWR
hotshott,United States,GoldenEye 007,Any% (Agent),Sat Feb 07 18:00:00 CST 2015,Sun Feb 15 06:15:53 CST 2015,PT23M46S,
PerfectTaste,Sweden,GoldenEye 007,Agent,Tue Sep 16 19:00:00 CDT 2008,Mon Feb 16 07:10:53 CST 2015,PT53S,
PerfectTaste,Sweden,GoldenEye 007,Agent,Fri Aug 29 19:00:00 CDT 2008,Mon Feb 16 07:12:32 CST 2015,PT16S,
PerfectTaste,Sweden,GoldenEye 007,Agent,Fri Feb 21 18:00:00 CST 2014,Mon Feb 16 07:13:25 CST 2015,PT1M13S,
PerfectTaste,Sweden,GoldenEye 007,Any% (Agent),Fri Mar 10 18:00:00 CST 2006,Tue Feb 17 06:20:51 CST 2015,PT28M22S,
TPositive,United States,GoldenEye 007,Any% (Agent),Sat Feb 14 18:00:00 CST 2015,Tue Feb 17 15:24:27 CST 2015,PT26M29S,"Finally did a run where I didn't fail a mission, in the 2nd ever weekly race. Muted VOD."
Stoxenbawns,Canada,GoldenEye 007,Secret Agent,Sat Jul 26 19:00:00 CDT 2014,Fri Feb 20 15:11:51 CST 2015,PT40S,
